순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액.1,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
64,극장판 바이올렛 에버가든,이시다테 타이치,0,2020-11-12,개봉영화,아시아,131,0.50024162,5002416.2,586.53,"58,653","1,644,947","164,494,660","18,122",애니메이션,전체관람가,독립/예술영화
65,마이 스파이,피터 시걸,0,2020-04-29,개봉영화,북아메리카,240,0.4825945,4825945,562.82,"56,282","1,655,726","165,572,600","19,676",액션,12세이상관람가,일반영화
66,나의 첫 번째 슈퍼스타,니샤 가나트라,1,2020-06-10,개봉영화,북아메리카,462,0.47391936,4739193.6,536.84,"53,684","1,895,101","189,510,120","21,533",코미디,12세이상관람가,일반영화
67,극장판 미니특공대: 햄버거괴물의 습격,이영준,0,2020-09-30,개봉영화,한국,414,0.46606362,4660636.2,578.83,"57,883","772,474","77,247,430","9,126",애니메이션,전체관람가,일반영화
68,프리키 데스데이,크리스토퍼 랜던,1,2020-11-25,개봉영화,북아메리카,631,0.45126069,4512606.9,518.16,"51,816","1,282,736","128,273,640","14,722",코미디,청소년관람불가,일반영화
69,더 프린세스 : 도둑맞은 공주,올레말라므,0,2020-08-12,개봉영화,유럽,423,0.44505306,4450530.6,545.17,"54,517","606,743","60,674,330","7,007",애니메이션,전체관람가,일반영화
70,아웃포스트,로드 루리,0,2020-09-23,개봉영화,북아메리카,454,0.42853387,4285338.7,513.81,"51,381","1,679,092","167,909,230","19,323",전쟁,15세이상관람가,일반영화
71,날씨의 아이,신카이 마코토,0,2019-10-30,개봉영화,아시아,716,0.40127268,4012726.8,533.64,"53,364","1,608,805","160,880,460","20,847",애니메이션,15세이상관람가,일반영화
72,스케어리 스토리:어둠의 속삭임,안드레 외브레달,0,2020-03-25,개봉영화,북아메리카,186,0.37549242,3754924.2,449.89,"44,989","1,230,440","123,043,980","14,557",판타지,15세이상관람가,일반영화
73,세자매,이승원,0,2021-01-27,개봉영화,한국,569,0.35445124,3544512.4,422.9,"42,290","1,101,171","110,117,100","12,825",드라마,15세이상관람가,독립/예술영화
74,젠틀맨,가이 리치,0,2020-02-26,개봉영화,북아메리카,586,0.34364727,3436472.7,396.38,"39,638","1,517,750","151,775,040","17,080",범죄,청소년관람불가,일반영화
75,다만 악에서 구하소서 파이널컷,홍원찬,2,2020-10-28,개봉영화,한국,475,0.32610657,3261065.7,379.61,"37,961","1,052,373","105,237,250","12,255",액션,청소년관람불가,일반영화
76,명탐정 코난: 진홍의 수학여행,야마모토 야스이치로,2,2021-01-27,개봉영화,아시아,532,0.31613244,3161324.4,381.31,"38,131","612,628","61,262,750","7,166",애니메이션,12세이상관람가,일반영화
77,야구소녀,최윤태,0,2020-06-18,개봉영화,한국,264,0.31523672,3152367.2,367.64,"36,764","1,774,743","177,474,260","19,821",드라마,12세이상관람가,독립/예술영화
78,콜 오브 와일드,크리스 샌더스,2,2020-05-14,개봉영화,북아메리카,505,0.3061185,3061185,362.45,"36,245","924,277","92,427,680","10,807",어드벤처,12세이상관람가,일반영화
79,애프터: 그 후,로저 컴블,0,2020-10-07,개봉영화,북아메리카,420,0.30495604,3049560.4,369.62,"36,962","1,023,727","102,372,690","12,502",멜로/로맨스,15세이상관람가,일반영화
80,반교: 디텐션,존 쉬,0,2020-08-13,개봉영화,기타,128,0.30350313,3035031.3,329.7,"32,970","995,350","99,535,040","10,494",공포(호러),15세이상관람가,독립/예술영화
81,서치 아웃,곽정,0,2020-04-15,개봉영화,한국,355,0.297167,2971670,341.15,"34,115","644,297","64,429,740","7,283",스릴러,15세이상관람가,독립/예술영화
82,오픈 더 도어,올가 고로데츠카야,0,2020-04-08,개봉영화,유럽,184,0.2867021,2867021,317.6,"31,760","962,274","96,227,400","10,487",공포(호러),15세이상관람가,일반영화
83,톰보이,셀린 시아마,0,2020-05-14,개봉영화,유럽,361,0.26805362,2680536.2,298.19,"29,819","1,625,548","162,554,780","17,239",드라마,12세이상관람가,독립/예술영화
84,뱅가드,당계례,0,2020-12-30,개봉영화,아시아,265,0.2658937,2658937,315.46,"31,546","646,059","64,605,900","7,759",액션,12세이상관람가,독립/예술영화
85,건즈 아킴보,제이슨 레이 하우덴,0,2020-04-15,개봉영화,유럽,181,0.244731,2447310,279.28,"27,928","903,230","90,323,000","10,314",액션,청소년관람불가,독립/예술영화
86,그집,,0,2020-05-27,개봉영화,유럽,392,0.23825846,2382584.6,287.07,"28,707","530,735","53,073,520","6,562",공포(호러),15세이상관람가,독립/예술영화
