■ 개봉일람_월별,,,,,,,,,,,,,,,,,
- 조회일: 2021-03-18,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020~2021   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
121,럭키 몬스터,봉준영,한국영화아카데미,,(주)영화사 그램,2020-12-03,개봉영화,장편,한국,101,"34,505,580","4,626","17,351,980","2,255",드라마,청소년관람불가,독립/예술영화
122,지옥의 묵시록 파이널 컷,프란시스 포드 코폴라,,(주)엔케이컨텐츠,(주)디스테이션,2020-11-26,개봉영화,장편,미국,64,"33,943,630","3,663","20,106,200","2,104",전쟁,청소년관람불가,독립/예술영화
123,담쟁이,한제이,다이노(DIE NO),,(주)트리플픽쳐스,2020-10-28,개봉영화,장편,한국,93,"33,705,130","4,258","19,435,220","2,347",가족,15세이상관람가,독립/예술영화
124,퍼스트 러브,미이케 다카시,,"(주)도키엔터테인먼트,와이드 릴리즈(주)",와이드 릴리즈(주),2020-12-17,개봉영화,장편,일본,79,"33,630,500","3,873","19,130,950","2,121",범죄,청소년관람불가,독립/예술영화
125,죽이는 여자,애슐리 해밀턴,,(주)영화사 안다미로,(주)영화사 안다미로,2020-08-23,개봉영화,장편,미국,1,"33,500,000","6,572","620,000",572,공포(호러),청소년관람불가,일반영화
126,무협: 더 코드,조니 우,,,(주)영화사 안다미로,2020-06-22,개봉영화,장편,미국,1,"33,488,040","6,549","599,000",551,액션,15세이상관람가,일반영화
127,안녕까지 30분,,,(주)엔케이컨텐츠,(주)디스테이션,2020-10-14,개봉영화,장편,일본,115,"33,447,800","4,305","18,622,500","2,432",판타지,12세이상관람가,독립/예술영화
128,빛의 아버지: 파이널 판타지 XIV,"노구치 테루오,야마모토 키요시",,(주)엔케이컨텐츠,(주)디스테이션,2021-01-14,개봉영화,장편,일본,98,"33,151,200","3,541","14,469,100","1,543",드라마,전체관람가,독립/예술영화
129,모추어리 컬렉션,,,(주)이놀미디어,(주)이놀미디어,2021-01-21,개봉영화,장편,미국,115,"32,241,800","3,767","12,162,700","1,425",판타지,청소년관람불가,독립/예술영화
130,매지컬: 공주를 웃겨라,정윤철,애니투아트(주),,(주)에이원엔터테인먼트,2020-09-17,개봉영화,장편,한국,220,"31,809,670","4,077","5,353,060",642,애니메이션,전체관람가,일반영화
131,보테로,돈 밀러,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2020-09-24,개봉영화,장편,캐나다,34,"31,301,840","3,805","21,537,040","2,406",다큐멘터리,전체관람가,독립/예술영화
132,로그,M.J. 버세트,,(주)스톰픽쳐스코리아,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2020-11-25,개봉영화,장편,미국,180,"31,203,140","4,012","12,613,560","1,571",액션,15세이상관람가,일반영화
133,누군가 어디에서 나를 기다리면 좋겠다,아르노 비야르,,(주)영화사 진진,(주)영화사 진진,2020-12-17,개봉영화,장편,프랑스,54,"31,003,550","4,072","21,726,680","2,731",드라마,15세이상관람가,독립/예술영화
134,힐빌리의 노래,론 하워드,,,메가박스중앙(주)플러스엠,2020-11-11,개봉영화,장편,미국,84,"30,682,780","3,646","17,845,500","2,071",드라마,청소년관람불가,독립/예술영화
135,스웨그,임성관,(주)퍼플스트로우필름,,(주)영화사오원,2020-12-10,개봉영화,장편,한국,118,"30,300,660","3,214","18,971,540","1,998",드라마,15세이상관람가,독립/예술영화
136,증발,김성민,미들,,㈜인디스토리,2020-11-12,개봉영화,장편,한국,35,"28,672,300","3,922","17,390,100","2,154",다큐멘터리,전체관람가,독립/예술영화
137,마샤와 곰: 최고 중에 최고,,,(주)나이너스엔터테인먼트,(주)팝엔터테인먼트,2020-10-08,개봉영화,장편,러시아,158,"28,394,500","3,525","4,364,300",513,애니메이션,전체관람가,일반영화
138,맨슨 패밀리,앤드류 존스,,(주)영화사 안다미로,(주)영화사 안다미로,2020-06-15,개봉영화,장편,영국,1,"27,980,000","5,532","17,020,000","3,532",공포(호러),15세이상관람가,일반영화
139,호프,마리아 소달,,(주)이놀미디어,(주)이놀미디어,2020-12-17,개봉영화,장편,기타,171,"27,722,010","3,312","10,869,270","1,257",드라마,12세이상관람가,독립/예술영화
140,루브르박물관 기획특별전,,,,씨제이포디플렉스 주식회사,2020-09-16,개봉영화,장편,프랑스,22,"27,408,000","2,110","13,646,500","1,050",다큐멘터리,전체관람가,일반영화
141,강철비2: 정상회담,양우석,(주)스튜디오게니우스우정,,롯데컬처웍스(주)롯데엔터테인먼트,2020-07-29,개봉영화,장편,한국,"2,137","27,159,400","10,294","23,275,200","9,807",드라마,15세이상관람가,일반영화
142,소년시절의 너,증국상,,(주)더세컨드웨이브,"(주)콘텐츠패밀리,(주)영화특별시에스엠씨",2020-07-09,개봉영화,장편,중국,252,"26,747,800","3,985","12,458,500","1,790",멜로/로맨스,15세이상관람가,독립/예술영화
143,가을의 마티네,니시타니 히로시,,찬란,찬란,2020-12-31,개봉영화,장편,일본,19,"26,492,370","4,003","17,701,340","2,558",멜로/로맨스,12세이상관람가,독립/예술영화
144,레벨 16,,,(주)제이브로,(주)디오시네마,2020-12-10,개봉영화,장편,캐나다,137,"25,928,300","2,856","10,058,250","1,066",스릴러,15세이상관람가,독립/예술영화
145,태양의 소녀들,에바 허슨,,주식회사 더쿱,(주)이수C&E,2020-10-22,개봉영화,장편,프랑스,103,"25,580,970","2,971","13,742,370","1,501",드라마,15세이상관람가,독립/예술영화
146,타오르는 여인의 초상,셀린 시아마,,그린나래미디어(주),"그린나래미디어(주),(주)홈초이스",2020-01-16,개봉영화,장편,프랑스,120,"23,430,970","2,848","13,766,970","1,623",드라마,15세이상관람가,독립/예술영화
147,프리키 데스데이 순한맛,크리스토퍼 랜던,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-12-10,개봉영화,장편,미국,159,"23,273,230","2,541","5,965,220",637,코미디,15세이상관람가,일반영화
148,인퍼머스,,,(주)스톰픽쳐스코리아,(주)디스테이션,2020-11-11,개봉영화,장편,미국,135,"23,058,650","2,499","9,517,970",998,범죄,청소년관람불가,독립/예술영화
149,글로리아를 위하여,로베르 게디기앙,,(주)에이유앤씨,찬란,2020-10-29,개봉영화,장편,프랑스,36,"22,875,400","2,833","17,453,100","2,179",드라마,15세이상관람가,독립/예술영화
150,반교: 디텐션,존 쉬,,찬란,(주)팝엔터테인먼트,2020-08-13,개봉영화,장편,기타,128,"22,874,120","3,435","13,767,120","2,392",공포(호러),15세이상관람가,독립/예술영화
151,사냥의 시간: 데스 게임,아론 머티스,,,(주)영화사 안다미로,2020-06-22,개봉영화,장편,미국,1,"22,501,520","4,538","587,000",539,공포(호러),청소년관람불가,일반영화
152,사일런싱,,,(주)홈초이스,(주)홈초이스,2021-01-28,개봉영화,장편,미국,89,"22,311,180","2,873","9,436,340","1,236",공포(호러),15세이상관람가,일반영화
153,그리드,마이클 윈터바텀,,"(주)도키엔터테인먼트,와이드 릴리즈(주)",와이드 릴리즈(주),2020-10-15,개봉영화,장편,영국,66,"21,409,500","2,411","14,451,700","1,546",코미디,15세이상관람가,독립/예술영화
154,피원에이치 : 새로운 세계의 시작,창,"(주)에프엔씨스토리,(주)창픽쳐스",,롯데컬처웍스(주)롯데엔터테인먼트,2020-10-08,개봉영화,장편,한국,87,"21,109,200","2,284","12,031,200","1,223",드라마,15세이상관람가,일반영화
155,레전더리 콘서트: 헤르베르트 폰 카라얀,헤르베르트 폰 카라얀,,,(주)케빈앤컴퍼니,2020-11-01,개봉영화,장편,독일,15,"20,976,000",730,"12,899,000",429,공연,전체관람가,일반영화
156,나를 구하지 마세요,정연경,(주)아우라픽처스,,(주)리틀빅픽쳐스,2020-09-10,개봉영화,장편,한국,79,"20,403,800","2,334","10,538,220","1,140",드라마,12세이상관람가,독립/예술영화
157,후쿠오카,장률,(주)률필름,,"(주)률필름,㈜인디스토리",2020-08-27,개봉영화,장편,한국,101,"20,249,540","2,444","13,373,070","1,455",드라마,15세이상관람가,독립/예술영화
158,토스카,,,일미디어,일미디어,2020-12-01,개봉영화,장편,이탈리아,4,"20,175,850",684,"13,952,250",437,공연,12세이상관람가,일반영화
159,나인스 게이트: 아홉 번째 살인,니콜라이 콤메리키,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-11-04,개봉영화,장편,러시아,93,"19,943,650","2,235","8,840,380",962,어드벤처,15세이상관람가,일반영화
160,포기와 베스,,,(주) 인스터 글로벌,(주) 인스터 글로벌,2020-10-06,개봉영화,장편,미국,7,"19,823,900",786,"14,663,600",582,공연,12세이상관람가,일반영화
161,69세,임선애,(주)기린제작사,,(주)엣나인필름,2020-08-20,개봉영화,장편,한국,105,"19,551,500","2,570","13,442,000","1,676",드라마,15세이상관람가,독립/예술영화
162,더 시크릿,유발 애들러,,(주)퍼스트런,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021-01-21,개봉영화,장편,영국,72,"19,534,860","2,796","8,617,770","1,273",스릴러,15세이상관람가,독립/예술영화
163,얼론,조니 마틴,,(주)영화사 안다미로,(주)영화사 안다미로,2020-11-18,개봉영화,장편,미국,189,"19,474,290","2,294","7,069,010",794,액션,15세이상관람가,독립/예술영화
164,큰엄마의 미친봉고,백승환,(주)백그림,,(주)백그림,2021-01-21,개봉영화,장편,한국,67,"19,344,740","2,802","7,430,910","1,096",코미디,12세이상관람가,일반영화
165,버든: 세상을 바꾸는 힘,앤드류 헤클러,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-11-25,개봉영화,장편,미국,82,"18,780,570","2,281","11,070,770","1,294",드라마,15세이상관람가,독립/예술영화
166,알피니스트 - 어느 카메라맨의 고백,"임일진,김민철",민치앤필름,,민치앤필름,2020-10-15,개봉영화,장편,한국,21,"18,762,430","2,316","11,944,030","1,451",다큐멘터리,12세이상관람가,독립/예술영화
167,코마,,,위드 라이언 픽쳐스,(주)까멜리아이엔티,2020-11-12,개봉영화,장편,러시아,46,"18,739,450","2,563","12,110,950","1,652",SF,15세이상관람가,독립/예술영화
168,우리가 이별 뒤에 알게 되는 것들,아이스링 친-이,,"(주)비싸이드 픽쳐스,필립 스튜디오",아이 엠,2020-09-30,개봉영화,장편,캐나다,37,"18,579,740","2,257","11,946,340","1,353",드라마,12세이상관람가,독립/예술영화
169,내언니전지현과 나,박윤진,,,호우주의보,2020-12-03,개봉영화,장편,한국,36,"18,358,300","2,142","13,307,030","1,454",다큐멘터리,12세이상관람가,독립/예술영화
170,엑설런트 어드벤쳐 3,딘 패리소트,,(주)누리픽쳐스,(주)누리픽쳐스,2020-11-19,개봉영화,장편,미국,54,"17,832,980","3,351","7,064,940","1,275",어드벤처,12세이상관람가,일반영화
171,관계의 가나다에 있는 우리는,이인의,굿인스토리,,(주)시네마달,2021-01-28,개봉영화,장편,한국,39,"17,658,070","2,380","11,724,770","1,499",드라마,전체관람가,독립/예술영화
172,레전더리 콘서트: 카를로스 클라이버,카를로스 클라이버,,,(주)케빈앤컴퍼니,2020-12-02,개봉영화,장편,독일,14,"17,130,000",583,"11,503,000",381,공연,전체관람가,일반영화
173,공포체험라디오 4DX,서정희,"CGV ICECON,씨제이포디플렉스 주식회사",,"CGV ICECON,씨제이포디플렉스 주식회사",2020-09-16,개봉영화,장편,한국,37,"16,604,000","1,794","6,099,500",650,공포(호러),15세이상관람가,일반영화
174,웰컴 투 X-월드,한태의,(주)시네마달,,(주)시네마달,2020-10-29,개봉영화,장편,한국,23,"16,522,400","2,064","12,760,900","1,444",다큐멘터리,전체관람가,독립/예술영화
175,용루각: 비정도시,최상훈,"(주)그노스,꿀잼컴퍼니(주)",,(주)드림팩트엔터테인먼트,2020-12-03,개봉영화,장편,한국,22,"16,308,210","2,740","6,068,750","1,024",액션,청소년관람불가,일반영화
176,제이티 르로이,,,(주)스톰픽쳐스코리아,(주)영화사 빅,2021-01-21,개봉영화,장편,미국,93,"16,266,700","1,977","8,115,900",969,드라마,15세이상관람가,독립/예술영화
177,송 오브 러브,,,(주)누리픽쳐스,(주)누리픽쳐스,2020-09-10,개봉영화,장편,기타,48,"16,134,080","3,133","5,667,600","1,069",드라마,12세이상관람가,일반영화
178,위 섬온 더 다크니스,,,(주)누리픽쳐스,(주)누리픽쳐스,2020-09-17,개봉영화,장편,미국,49,"16,101,320","3,131","5,432,800","1,053",공포(호러),청소년관람불가,일반영화
179,함께 있을 수 있다면,끌로드 베리,,(주)영화사 진진,(주)영화사 진진,2020-12-24,개봉영화,장편,프랑스,30,"15,876,610","2,053","9,277,210","1,185",멜로/로맨스,12세이상관람가,독립/예술영화
180,찬실이는 복도 많지,김초희,"(주)지이프로덕션,(주)사이드미러",,찬란,2020-03-05,개봉영화,장편,한국,241,"15,159,370","1,635","10,775,570","1,050",드라마,전체관람가,독립/예술영화
181,래시 컴 홈,올더디센 하노,,찬란,찬란,2021-01-07,개봉영화,장편,독일,13,"15,022,450","2,498","8,405,300","1,392",가족,전체관람가,독립/예술영화
182,프린세스 에미: 마법 책의 비밀,피엣 드 라이커,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2020-11-26,개봉영화,장편,독일,133,"14,555,780","1,871","1,460,400",181,애니메이션,전체관람가,일반영화
183,마치다군의 세계,이시이 유야,,(주)디오시네마,(주)디오시네마,2020-11-12,개봉영화,장편,일본,44,"14,124,170","1,483","10,592,800","1,076",멜로/로맨스,전체관람가,독립/예술영화
184,뮤직 앤 리얼리티,"빅 포니,스티브 리",(주)보더리스필름,,"(주)미로스페이스,(주)스튜디오 보난자",2020-12-23,개봉영화,장편,한국,38,"12,281,390","1,409","8,506,620",946,드라마,12세이상관람가,독립/예술영화
185,살로메,로메오 카스텔루치,,,(주)케빈앤컴퍼니,2020-09-20,개봉영화,장편,독일,8,"12,223,600",486,"8,921,800",347,공연,15세이상관람가,일반영화
186,그날이 온다,크리스토퍼 모리스,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-12-09,개봉영화,장편,영국,105,"12,201,850","1,361","5,651,000",594,코미디,15세이상관람가,독립/예술영화
187,겨울밤에,장우진,봄내필름,,㈜인디스토리,2020-12-10,개봉영화,장편,한국,49,"12,083,970","1,425","7,835,570",869,드라마,12세이상관람가,독립/예술영화
188,라이어트: 기계들의 역습,,,하드릴컴퍼니,(주)노바이앤티,2020-12-23,개봉영화,장편,미국,52,"11,975,900","2,283","10,350,900","1,958",SF,15세이상관람가,일반영화
189,반도,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2020-07-15,개봉영화,장편,한국,"2,575","11,821,000","1,768","9,326,000","1,440",액션,15세이상관람가,일반영화
190,아이 빌리브,,,(재)CBS,(재)CBS,2020-11-05,개봉영화,장편,미국,75,"11,757,600","1,433","5,082,500",607,드라마,전체관람가,일반영화
191,지옥의 오르페,"베리 코스키,마이클 베이어",,,(주)케빈앤컴퍼니,2020-10-25,개봉영화,장편,독일,7,"11,479,100",460,"8,781,400",353,공연,청소년관람불가,일반영화
192,크루아상,조성규,"(주)와우,(주)와이제이글로벌그룹",,하준사,2021-01-21,개봉영화,장편,한국,42,"11,463,450","1,221","7,007,310",736,드라마,12세이상관람가,독립/예술영화
193,엠티맨,,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-11-19,개봉영화,장편,미국,100,"11,314,120","1,266","4,967,810",556,공포(호러),15세이상관람가,일반영화
194,라스트 프론티어,,,주식회사 풍경소리,(주)까멜리아이엔티,2021-01-14,개봉영화,장편,러시아,20,"10,824,500","1,840","8,841,900","1,606",전쟁,15세이상관람가,독립/예술영화
195,어트랙션,"만스 말린드,비욘 스테인",,주식회사 더쿱,(주)이수C&E,2020-09-17,개봉영화,장편,독일,101,"10,807,570","1,286","4,452,080",522,드라마,12세이상관람가,독립/예술영화
196,스카이와 친구들: 로보시티의 비밀,,,에이케이엔터테인먼트(주),와이드 릴리즈(주),2020-12-10,개봉영화,장편,기타,83,"10,765,680","1,394","1,259,700",145,애니메이션,전체관람가,일반영화
197,황무지 5월의 고해,김태영,(주)인디컴,,시네마 뉴원,2020-10-28,개봉영화,장편,한국,39,"10,624,500","1,314","6,788,000",824,드라마,15세이상관람가,독립/예술영화
198,디어 마이 지니어스,구윤주,오엠지프로덕션,,필름다빈,2020-10-22,개봉영화,장편,한국,14,"10,582,400","1,807","4,748,900",711,다큐멘터리,전체관람가,독립/예술영화
199,앙상블,정형석,"닷 팩토리,전주 영상위원회",,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2020-11-05,개봉영화,장편,한국,52,"10,376,610","1,140","6,412,540",678,드라마,12세이상관람가,독립/예술영화
200,레전더리 콘서트: 레너드 번스타인,,,,(주)케빈앤컴퍼니,2021-01-03,개봉영화,장편,독일,12,"10,132,500",366,"6,716,500",229,공연,전체관람가,일반영화
201,예티: 신비한 동물 탐험대,"피에르 그레코,낸시 플로렌스 사바드",,(주)퍼스트런,(주)디스테이션,2020-10-08,개봉영화,장편,캐나다,78,"10,032,160","1,307","1,023,000",131,애니메이션,전체관람가,독립/예술영화
202,라 보엠,,,,(주)케빈앤컴퍼니,2020-11-29,개봉영화,장편,독일,7,"9,719,400",379,"7,069,000",278,공연,전체관람가,일반영화
203,마지막 휴가,노거경,거경필름,,(주)드림팩트엔터테인먼트,2020-12-10,개봉영화,장편,한국,11,"9,561,000","1,164","6,319,000",790,기타,15세이상관람가,독립/예술영화
204,래드윔프스 안티 안티 제너레이션 2019,,,CGV ICECON,CGV ICECON,2020-11-05,개봉영화,장편,일본,27,"8,549,000",475,"3,887,500",216,공연,전체관람가,일반영화
205,구르는 수레바퀴,문정윤,아방가르드 필름,,아방가르드 필름,2020-09-23,개봉영화,장편,한국,4,"8,510,000","1,072","8,419,000","1,060",가족,12세이상관람가,독립/예술영화
206,구직자들,황승재,주식회사인시즌,,(주)이놀미디어,2020-11-12,개봉영화,장편,한국,29,"8,404,650",920,"5,921,080",631,SF,전체관람가,독립/예술영화
207,꿀벌과 천둥,이시카와 케이,,(주)엔케이컨텐츠,(주)디스테이션,2020-10-29,개봉영화,장편,일본,35,"8,270,600",923,"4,041,100",431,드라마,전체관람가,독립/예술영화
208,장 미쉘 바스키아: 더 레이디언트 차일드,탐라 데이비스,,,롯데컬처웍스(주)롯데엔터테인먼트,2020-12-09,개봉영화,장편,미국,18,"7,979,100",869,"5,381,300",580,다큐멘터리,12세이상관람가,일반영화
209,족벌 두 신문 이야기,"김용진,박중석",뉴스타파 필름,,(주)엣나인필름,2021-01-01,개봉영화,장편,한국,10,"7,879,400","1,030","5,621,400",686,다큐멘터리,12세이상관람가,독립/예술영화
210,438일,예스퍼 갠스란트,,(주)에스와이코마드,(주)에스와이코마드,2021-01-21,개봉영화,장편,기타,40,"7,872,810","1,000","4,108,410",500,드라마,15세이상관람가,독립/예술영화
211,요요현상,고두현,영화사 금요일,,영화배급협동조합 씨네소파,2021-01-14,개봉영화,장편,한국,27,"7,695,840",804,"5,331,640",516,다큐멘터리,전체관람가,독립/예술영화
212,"이별유예, 일주일",김규현,(주)에스비에스미디어넷,,(주)유어스토리블루,2020-12-09,개봉영화,장편,한국,29,"7,586,000",779,"3,386,500",348,드라마,15세이상관람가,일반영화
213,에듀케이션,김덕중,"(주)타이거시네마,DGC",,영화배급협동조합 씨네소파,2020-11-26,개봉영화,장편,한국,23,"7,510,670",886,"5,530,470",598,드라마,12세이상관람가,독립/예술영화
214,마라가 큰 결정을 해야 해,로버트 루케틱,,(주)영화사오원,(주)영화사오원,2021-01-07,개봉영화,장편,미국,79,"7,475,940",856,"2,830,800",321,멜로/로맨스,15세이상관람가,일반영화
215,시크릿 가든,마크 먼든,,주식회사 세미콜론스튜디오,(주)이수C&E,2020-08-19,개봉영화,장편,영국,267,"7,264,000",865,"5,614,500",696,드라마,전체관람가,독립/예술영화
216,해머 오브 갓,파렌 블랙번,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,2020-11-25,개봉영화,장편,영국,42,"7,175,470",960,"2,449,000",314,액션,청소년관람불가,독립/예술영화
217,극장판 시로바코,미즈시마 츠토무,,(주)애니플러스,(주)애니플러스,2020-08-20,개봉영화,장편,일본,64,"7,015,880",803,"5,018,400",569,애니메이션,12세이상관람가,일반영화
218,나의이름,허동우,(주)뉴데이픽쳐스,,시네마 뉴원,2020-10-14,개봉영화,장편,한국,38,"6,997,500",833,"4,819,500",560,멜로/로맨스,12세이상관람가,독립/예술영화
219,마음에 부는 바람,윤석호,,,(주)트리플픽쳐스,2020-11-05,개봉영화,장편,일본,13,"6,953,000",805,"6,345,500",739,기타,12세이상관람가,독립/예술영화
220,리메인,김민경,"리메인프로덕션,이유 필름",,(주)영화사오원,2020-08-27,개봉영화,장편,한국,45,"6,709,900",932,"1,340,900",156,드라마,청소년관람불가,독립/예술영화
221,나의 작은 동무,,,씨네라인월드(주),(주)라이크콘텐츠,2021-01-14,개봉영화,장편,기타,40,"6,526,440",777,"3,424,570",358,드라마,12세이상관람가,독립/예술영화
222,낙엽귀근,장양,,(주)시네마엔터,주식회사 블루필름웍스,2020-09-24,개봉영화,장편,중국,23,"6,259,880",777,"3,893,400",460,코미디,15세이상관람가,독립/예술영화
223,천사는 바이러스,김성준,전주 영상위원회,,주식회사 씨엠닉스,2021-01-06,개봉영화,장편,한국,44,"6,115,710",816,"2,404,810",278,드라마,15세이상관람가,독립/예술영화
224,아메리칸 잡,마크 스티븐 존슨,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-09-03,개봉영화,장편,미국,36,"5,847,720","2,156","2,625,260",332,범죄,15세이상관람가,일반영화
225,유쾌한 과부,다미아노 미키엘레토,,일미디어,일미디어,2020-10-02,개봉영화,장편,이탈리아,4,"5,513,000",211,"3,154,500",102,공연,12세이상관람가,일반영화
226,치어리딩 클럽,자라 헤이즈,,찬란,찬란,2020-09-10,개봉영화,장편,캐나다,35,"5,145,240",672,"3,251,300",421,코미디,12세이상관람가,독립/예술영화
227,로맨틱 코미디,,,(주)영화사 안다미로,(주)영화사 안다미로,2020-12-03,개봉영화,장편,미국,28,"4,919,540",592,"3,215,200",355,다큐멘터리,12세이상관람가,독립/예술영화
228,나의 인생여행,,,미디어소프트,(주)라이크콘텐츠,2020-12-10,개봉영화,장편,영국,31,"4,822,210",603,"2,682,340",327,드라마,15세이상관람가,독립/예술영화
229,전쟁,요크 샤클톤,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-12-30,개봉영화,장편,미국,35,"4,762,860",708,"1,190,940",170,액션,15세이상관람가,일반영화
230,내 사랑 찾기,,,주식회사 더쿱,(주)팝엔터테인먼트,2020-10-22,개봉영화,장편,미국,38,"4,557,300",560,"2,043,300",249,멜로/로맨스,12세이상관람가,독립/예술영화
231,뮤지컬 버드나무에 부는 바람,,,C 무비,C 무비,2020-10-07,개봉영화,장편,영국,11,"4,476,500",254,"2,611,500",148,뮤지컬,전체관람가,일반영화
232,귀여운 남자,김정욱,(주)드림팩트엔터테인먼트,,(주)드림팩트엔터테인먼트,2021-01-14,개봉영화,장편,한국,41,"4,376,470",546,"1,159,370",136,코미디,15세이상관람가,독립/예술영화
233,최미역행,판위린,,아트비전,시네마 뉴원,2020-11-25,개봉영화,장편,중국,20,"4,350,500",553,"2,204,000",289,드라마,12세이상관람가,독립/예술영화
234,캐리비안 해적과 마법 다이아몬드,라스무스 A. 실버르센,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-08-26,개봉영화,장편,노르웨이,138,"4,312,660",563,"615,600",77,애니메이션,전체관람가,일반영화
235,블러드 킬,제임스 쿨렌 브레삭,,(주)스톰픽쳐스코리아,노바엔터테인먼트,2020-09-28,개봉영화,장편,미국,50,"4,283,500",829,"603,500",93,범죄,15세이상관람가,일반영화
236,무협강호,,,(주)스톰픽쳐스코리아,(주)원더스컴퍼니,2020-11-13,개봉영화,장편,중국,48,"4,230,000",824,"630,000",104,액션,12세이상관람가,일반영화
237,플레인 하이스트,앤드류 로렌스,,씨네쿼넌 픽쳐스,씨네쿼넌 픽쳐스,2020-09-29,개봉영화,장편,미국,50,"4,211,000",851,"1,200,000",240,액션,15세이상관람가,일반영화
238,메피스토,김동후,㈜아라유니버스,,(주)영화사 그램,2020-09-10,개봉영화,장편,한국,30,"4,054,900",502,"2,710,900",324,드라마,15세이상관람가,독립/예술영화
239,파이널 킬,저스틴 리,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2020-09-21,개봉영화,장편,미국,49,"4,046,000",804,"366,000",68,액션,15세이상관람가,일반영화
240,도둑까치,,,일미디어,일미디어,2020-11-03,개봉영화,장편,이탈리아,4,"3,965,600",153,"2,633,500",93,공연,전체관람가,일반영화
241,뮤지컬 남극 탐험가는 나를 좋아해,데이빗 혼,,C 무비,C 무비,2020-09-16,개봉영화,장편,미국,16,"3,940,000",219,"2,051,000",114,뮤지컬,15세이상관람가,일반영화
242,이 마스나디에리,데이비드 맥비커,,일미디어,일미디어,2020-09-01,개봉영화,장편,이탈리아,3,"3,604,050",153,"2,081,550",74,공연,12세이상관람가,일반영화
243,사랑이 눈뜰 때,마이클 메일러,,(주)이놀미디어,(주)이놀미디어,2020-08-26,개봉영화,장편,미국,92,"3,484,300",498,"1,686,300",228,드라마,12세이상관람가,독립/예술영화
244,선샤인 패밀리,김태식,필름라인,,시네마 뉴원,2020-12-31,개봉영화,장편,한국,26,"3,480,570",414,"2,172,070",245,드라마,12세이상관람가,독립/예술영화
245,골든맨,빈센조 알피리,,(주)액티버스엔터테인먼트,예지림엔터테인먼트,2021-01-27,개봉영화,장편,이탈리아,25,"3,326,600",441,"955,600",130,범죄,15세이상관람가,독립/예술영화
246,이십일세기 소녀,야마토 유키,,(주)디오시네마,(주)디오시네마,2020-09-03,개봉영화,장편,일본,20,"3,279,400",382,"2,655,400",292,드라마,15세이상관람가,독립/예술영화
247,워터 릴리스,셀린 시아마,,(주)블루라벨픽쳐스,(주)영화특별시에스엠씨,2020-08-13,개봉영화,장편,프랑스,89,"3,255,500",367,"2,375,500",265,드라마,15세이상관람가,독립/예술영화
248,사라센의 칼,임재영,대쉬 필름,,(주)콘텐츠윙,2021-01-14,개봉영화,장편,한국,14,"3,045,000",348,"2,080,900",217,드라마,15세이상관람가,독립/예술영화
249,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,히시다 마사카즈,,동우에이앤이(주),동우에이앤이(주),2020-04-02,개봉영화,장편,일본,55,"3,032,010",366,"1,878,600",216,애니메이션,12세이상관람가,일반영화
250,게임의 법칙: 인간사냥,이수성,㈜리필름,,(주)제이앤씨미디어그룹,2021-01-28,개봉영화,장편,한국,20,"3,011,000",381,"1,256,500",155,스릴러,청소년관람불가,일반영화
251,동아시아반일무장전선,김미례,감 픽쳐스,,아이 엠,2020-08-20,개봉영화,장편,한국,23,"2,905,000",386,"2,500,000",326,다큐멘터리,15세이상관람가,독립/예술영화
252,머리카락,이미해,스튜디오 파동,,"목영엘티디,(주)다자인소프트",2020-12-10,개봉영화,장편,한국,12,"2,646,670",298,"1,990,070",210,다큐멘터리,전체관람가,독립/예술영화
253,스윈들러,이동환,환필름,,(주)이놀미디어,2020-10-08,개봉영화,장편,한국,16,"2,634,000",330,"1,654,500",201,드라마,15세이상관람가,독립/예술영화
