순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
69,더 프린세스 : 도둑맞은 공주,올레말라므,0,2020-08-12,개봉영화,유럽,423,"4,450,531","445,053,060",545,"54,517",606743.3,"60,674,330",7007,애니메이션,전체관람가,일반영화
70,아웃포스트,로드 루리,0,2020-09-23,개봉영화,북아메리카,454,"4,285,339","428,533,870",514,"51,381",1679092.3,"167,909,230",19323,전쟁,15세이상관람가,일반영화
71,날씨의 아이,신카이 마코토,0,2019-10-30,개봉영화,아시아,716,"4,012,727","401,272,680",534,"53,364",1608804.6,"160,880,460",20847,애니메이션,15세이상관람가,일반영화
72,스케어리 스토리:어둠의 속삭임,안드레 외브레달,0,2020-03-25,개봉영화,북아메리카,186,"3,754,924","375,492,420",450,"44,989",1230439.8,"123,043,980",14557,판타지,15세이상관람가,일반영화
73,세자매,이승원,0,2021-01-27,개봉영화,한국,569,"3,544,512","354,451,240",423,"42,290",1101171,"110,117,100",12825,드라마,15세이상관람가,독립/예술영화
74,젠틀맨,가이 리치,0,2020-02-26,개봉영화,북아메리카,586,"3,436,473","343,647,270",396,"39,638",1517750.4,"151,775,040",17080,범죄,청소년관람불가,일반영화
75,다만 악에서 구하소서 파이널컷,홍원찬,2,2020-10-28,개봉영화,한국,475,"3,261,066","326,106,570",380,"37,961",1052372.5,"105,237,250",12255,액션,청소년관람불가,일반영화
76,명탐정 코난: 진홍의 수학여행,야마모토 야스이치로,2,2021-01-27,개봉영화,아시아,532,"3,161,324","316,132,440",381,"38,131",612627.5,"61,262,750",7166,애니메이션,12세이상관람가,일반영화
77,야구소녀,최윤태,0,2020-06-18,개봉영화,한국,264,"3,152,367","315,236,720",368,"36,764",1774742.6,"177,474,260",19821,드라마,12세이상관람가,독립/예술영화
78,콜 오브 와일드,크리스 샌더스,2,2020-05-14,개봉영화,북아메리카,505,"3,061,185","306,118,500",362,"36,245",924276.8,"92,427,680",10807,어드벤처,12세이상관람가,일반영화
79,애프터: 그 후,로저 컴블,0,2020-10-07,개봉영화,북아메리카,420,"3,049,560","304,956,040",370,"36,962",1023726.9,"102,372,690",12502,멜로/로맨스,15세이상관람가,일반영화
80,반교: 디텐션,존 쉬,0,2020-08-13,개봉영화,기타,128,"3,035,031","303,503,130",330,"32,970",995350.4,"99,535,040",10494,공포(호러),15세이상관람가,독립/예술영화
81,서치 아웃,곽정,0,2020-04-15,개봉영화,한국,355,"2,971,670","297,167,000",341,"34,115",644297.4,"64,429,740",7283,스릴러,15세이상관람가,독립/예술영화
82,오픈 더 도어,올가 고로데츠카야,0,2020-04-08,개봉영화,유럽,184,"2,867,021","286,702,100",318,"31,760",962274,"96,227,400",10487,공포(호러),15세이상관람가,일반영화
83,톰보이,셀린 시아마,0,2020-05-14,개봉영화,유럽,361,"2,680,536","268,053,620",298,"29,819",1625547.8,"162,554,780",17239,드라마,12세이상관람가,독립/예술영화
84,뱅가드,당계례,0,2020-12-30,개봉영화,아시아,265,"2,658,937","265,893,700",315,"31,546",646059,"64,605,900",7759,액션,12세이상관람가,독립/예술영화
85,건즈 아킴보,제이슨 레이 하우덴,0,2020-04-15,개봉영화,유럽,181,"2,447,310","244,731,000",279,"27,928",903230,"90,323,000",10314,액션,청소년관람불가,독립/예술영화
86,그집,,0,2020-05-27,개봉영화,유럽,392,"2,382,585","238,258,460",287,"28,707",530735.2,"53,073,520",6562,공포(호러),15세이상관람가,독립/예술영화
87,부활: 그 증거,김상철,0,2020-10-08,개봉영화,한국,111,"2,364,836","236,483,600",292,"29,153",474932,"47,493,200",5734,다큐멘터리,전체관람가,독립/예술영화
88,"어디갔어, 버나뎃",리차드 링클레이터,0,2020-10-08,개봉영화,북아메리카,253,"2,362,530","236,253,000",284,"28,378",1025480,"102,548,000",12154,코미디,12세이상관람가,독립/예술영화
89,기생충,봉준호,2,2019-05-30,개봉영화,한국,1948,"2,348,968","234,896,820",293,"29,320",906013,"90,601,300",11102,드라마,15세이상관람가,일반영화
90,미스비헤이비어,필립파 로소프,0,2020-05-27,개봉영화,유럽,378,"2,344,219","234,421,860",289,"28,884",1067003.6,"106,700,360",12991,드라마,15세이상관람가,독립/예술영화
91,파리의 인어,마티아스 마르지유,0,2020-07-23,개봉영화,유럽,204,"2,322,735","232,273,500",276,"27,618",892365,"89,236,500",10552,멜로/로맨스,12세이상관람가,독립/예술영화
92,더 보이 2: 돌아온 브람스,윌리엄 브렌트 벨,0,2020-03-05,개봉영화,북아메리카,179,"2,311,520","231,152,000",265,"26,531",799280,"79,928,000",9271,공포(호러),15세이상관람가,일반영화
93,킹덤 오브 헤븐: 디렉터스 컷,리들리 스콧,0,2020-11-11,개봉영화,유럽,117,"2,309,716","230,971,600",252,"25,153",1185539,"118,553,900",12497,액션,15세이상관람가,일반영화
94,n번째 이별 중,,0,2020-04-01,개봉영화,북아메리카,171,"2,253,588","225,358,800",249,"24,915",872967,"87,296,700",9615,멜로/로맨스,12세이상관람가,독립/예술영화
95,찬실이는 복도 많지,김초희,0,2020-03-05,개봉영화,한국,241,"2,245,240","224,523,960",262,"26,248",1409369.6,"140,936,960",15801,드라마,전체관람가,독립/예술영화
96,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,2,2020-08-20,개봉영화,아시아,661,"2,216,647","221,664,710",271,"27,094",365586.5,"36,558,650",4171,애니메이션,전체관람가,일반영화
97,결백,박상현,1,2020-06-10,개봉영화,한국,1112,"2,170,700","217,070,000",282,"28,172",2170700,"217,070,000",28172,드라마,15세이상관람가,일반영화
98,더 프롬,라이언 머피,1,2020-12-02,개봉영화,북아메리카,662,"2,139,207","213,920,730",246,"24,635",840285.3,"84,028,530",9478,코미디,12세이상관람가,일반영화
99,폰조,조쉬 트랭크,0,2020-10-14,개봉영화,북아메리카,574,"2,117,593","211,759,310",254,"25,383",792020.8,"79,202,080",9237,범죄,청소년관람불가,독립/예술영화
100,애비규환,최하나,0,2020-11-12,개봉영화,한국,453,"2,067,313","206,731,300",227,"22,729",960409.4,"96,040,940",9985,드라마,12세이상관람가,독립/예술영화
101,블루 아워,하코타 유코,0,2020-07-22,개봉영화,아시아,322,"2,025,816","202,581,600",238,"23,803",1176343,"117,634,300",13168,드라마,12세이상관람가,독립/예술영화
102,캣츠토피아,게리 왕,0,2020-04-30,개봉영화,아시아,367,"2,012,232","201,223,160",240,"24,000",291531.6,"29,153,160",3370,판타지,전체관람가,독립/예술영화
103,비바리움,,0,2020-07-16,개봉영화,북아메리카,129,"1,953,041","195,304,120",238,"23,755",805589.4,"80,558,940",9082,미스터리,15세이상관람가,독립/예술영화
104,울프 콜,안토닌 보드리,0,2020-03-05,개봉영화,유럽,336,"1,920,616","192,061,580",232,"23,247",609719,"60,971,900",7334,액션,15세이상관람가,독립/예술영화
105,마리 퀴리,마르잔 사트라피,0,2020-11-18,개봉영화,유럽,484,"1,915,009","191,500,920",246,"24,573",869619.9,"86,961,990",11943,드라마,15세이상관람가,독립/예술영화
106,오케이 마담,이철하,1,2020-08-12,개봉영화,한국,1288,"1,898,667","189,866,710",235,"23,486",508198.2,"50,819,820",7059,코미디,15세이상관람가,일반영화
107,테슬라,마이클 알메레이다,0,2020-10-28,개봉영화,북아메리카,460,"1,848,430","184,842,950",234,"23,441",761325.4,"76,132,540",9450,드라마,12세이상관람가,일반영화
108,유령선,김지영,0,2020-04-15,개봉영화,한국,165,"1,819,339","181,933,920",208,"20,784",682073,"68,207,300",7684,다큐멘터리,12세이상관람가,독립/예술영화
109,인베이젼 2020,표도르 본다르추크,0,2020-07-01,개봉영화,유럽,354,"1,791,353","179,135,260",216,"21,609",460984.4,"46,098,440",5411,SF,12세이상관람가,일반영화
